,iter,rank,time_train,time_hr,error,hr1_valid,hr1_test,hr3_valid,hr3_test,hr10_valid,hr10_test,mrr_valid,mrr_test
1,2.0,2.0,0.4104037284851074,22.195525646209717,0.9977750689775803,0.001,0.001,0.008,0.004,0.015,0.011,0.005406681486634965,0.003768066030163943
2,2.0,4.0,0.4926633834838867,20.769506216049194,0.9948740458929036,0.003,0.001,0.01,0.006,0.021,0.012,0.008421119784635256,0.0047668226983496025
3,2.0,6.0,0.3371868133544922,22.169065952301025,0.9927159108717327,0.006,0.001,0.012,0.008,0.024,0.017,0.010898843655739902,0.006119137460338383
4,2.0,8.0,0.3571598529815674,20.14840841293335,0.9904602468625263,0.004,0.004,0.007,0.005,0.015,0.015,0.007748599209246429,0.00690024085130758
5,2.0,10.0,0.3858826160430908,20.24248766899109,0.9896783933227005,0.003,0.003,0.008,0.006,0.02,0.014,0.008568221427620107,0.007604870211109814
6,2.0,12.0,0.40778040885925293,21.44496774673462,0.9869739959977714,0.009,0.004,0.012,0.006,0.023,0.013,0.013446143130478271,0.006953483031174038
7,2.0,14.0,0.44837069511413574,23.36992835998535,0.9862242566242073,0.003,0.006,0.008,0.01,0.02,0.023,0.0090081108574177,0.011523121194614926
8,2.0,16.0,0.4536783695220947,20.544073820114136,0.9838110994831537,0.008,0.003,0.011,0.008,0.018,0.019,0.011119971379745944,0.008189471536583214
9,2.0,18.0,0.48255300521850586,22.277065992355347,0.9839974321171261,0.001,0.005,0.012,0.01,0.019,0.019,0.008405413452039325,0.01020326031234771
10,2.0,20.0,0.49182963371276855,22.64548134803772,0.9809476664858037,0.004,0.0,0.013,0.005,0.031,0.013,0.01180727144422359,0.004963427592647569
11,2.0,22.0,0.5381269454956055,22.168412685394287,0.9816322254517182,0.001,0.002,0.009,0.006,0.014,0.013,0.006751578758174759,0.006537976504944031
12,2.0,24.0,0.6501243114471436,23.131702661514282,0.9784708837540793,0.007,0.007,0.011,0.009,0.02,0.019,0.011071230874112917,0.011065634804042834
13,2.0,26.0,0.5724854469299316,23.134268522262573,0.978555718618081,0.009,0.01,0.019,0.02,0.035,0.036,0.018027802523023426,0.018124936655744665
14,2.0,28.0,0.5993099212646484,24.5397789478302,0.9777680467606488,0.007,0.004,0.015,0.009,0.021,0.018,0.012434699737969348,0.00897581970046256
15,2.0,30.0,0.628258228302002,25.193833112716675,0.9778141725641001,0.005,0.005,0.009,0.009,0.022,0.023,0.01038684828975526,0.01108001491431199
16,2.0,32.0,0.6165106296539307,24.019947290420532,0.9761342014014596,0.008,0.005,0.014,0.007,0.018,0.015,0.012486335120696085,0.008619604921668654
17,2.0,34.0,0.6503808498382568,24.855271339416504,0.9752390798820892,0.006,0.003,0.011,0.008,0.025,0.023,0.011281009591811164,0.009209367810912281
18,2.0,36.0,0.6653900146484375,25.766786575317383,0.9725683419170447,0.012,0.005,0.016,0.008,0.034,0.021,0.017584308204348083,0.009497265026582094
19,2.0,38.0,0.6994454860687256,25.103123664855957,0.9739048514761424,0.01,0.005,0.013,0.007,0.023,0.022,0.014871886004473946,0.00997758079792296
20,2.0,40.0,0.7042183876037598,24.958902597427368,0.9733941257845352,0.007,0.008,0.015,0.011,0.025,0.025,0.013657030324183562,0.013283763957091039
21,2.0,42.0,0.7654614448547363,26.039321899414062,0.9719891111550416,0.007,0.011,0.013,0.016,0.028,0.022,0.01356697586741626,0.016123211886764403
22,2.0,44.0,0.7745742797851562,26.045924425125122,0.9708885920282847,0.005,0.002,0.01,0.009,0.021,0.021,0.010972655050477283,0.008499245160732865
23,2.0,46.0,0.8004848957061768,26.328879833221436,0.9718993031362272,0.006,0.01,0.011,0.015,0.023,0.024,0.011740607446933893,0.015347184728098486
24,2.0,48.0,0.8452520370483398,26.92949867248535,0.970036361712753,0.011,0.005,0.015,0.011,0.028,0.026,0.016892662648322256,0.011991630619626818
25,2.0,50.0,0.8328797817230225,27.603301763534546,0.9695149563801404,0.007,0.007,0.015,0.01,0.023,0.03,0.01263163528598389,0.013841440704743965
26,2.0,52.0,1.1313986778259277,27.32497787475586,0.9697591100812154,0.003,0.003,0.011,0.008,0.024,0.029,0.009904674108588717,0.00948138198976016
27,2.0,54.0,0.8940248489379883,27.375170707702637,0.9687326407559093,0.008,0.009,0.019,0.014,0.028,0.033,0.016062212613227288,0.016337567848776897
28,2.0,56.0,1.0381138324737549,27.87775230407715,0.9686899029613759,0.002,0.005,0.012,0.016,0.031,0.034,0.011470554097713942,0.014335858788388117
29,2.0,58.0,1.1185429096221924,29.304014921188354,0.9669119560165967,0.006,0.009,0.013,0.021,0.024,0.032,0.013243794238141676,0.017875006571019855
30,2.0,60.0,1.1323792934417725,29.244585275650024,0.9657181880659499,0.007,0.009,0.015,0.02,0.031,0.041,0.014722751098653399,0.018900332624091454
31,2.0,62.0,1.011052131652832,29.692960500717163,0.966145273217512,0.006,0.009,0.018,0.014,0.035,0.028,0.01546779248351902,0.015607629855741129
32,2.0,64.0,0.9954488277435303,28.926015615463257,0.9645891187224925,0.01,0.003,0.014,0.006,0.028,0.025,0.015758029982477842,0.009455556828738651
33,2.0,66.0,1.0336971282958984,29.671407461166382,0.9659873871786734,0.009,0.007,0.016,0.012,0.03,0.027,0.01605230268646454,0.014601073980223735
34,2.0,68.0,1.0671823024749756,31.085254430770874,0.9621719867266497,0.003,0.006,0.009,0.012,0.028,0.025,0.010080113923391507,0.012461959718451937
35,2.0,70.0,1.1271686553955078,30.502660036087036,0.9601744717626562,0.01,0.008,0.018,0.014,0.033,0.032,0.017910768164792756,0.015155348663305852
36,2.0,72.0,1.0856256484985352,30.16990351676941,0.9658297356263221,0.007,0.007,0.01,0.012,0.028,0.034,0.012724498366269705,0.014924599159405503
