,iter,rank,time_train,time_hr,error,hr1_valid,hr1_test,hr3_valid,hr3_test,hr10_valid,hr10_test,mrr_valid,mrr_test
1,2.0,25.0,1.6980319023132324,847.0702300071716,0.938660063642537,0.09326,0.09073826412283523,0.1283,0.1252729765874964,0.1711,0.1689323018063009,0.12153678387653907,0.11887405542533128
2,2.0,50.0,1.7046592235565186,864.254725933075,0.9130742908660164,0.1167,0.11558971407289532,0.16504,0.16429381591643955,0.2188,0.2195493558598974,0.1539206243213595,0.15342510195780035
3,2.0,100.0,2.987297296524048,1015.6212208271027,0.89273917948923,0.13442,0.13202756005484925,0.18774,0.18640280340607066,0.24936,0.24920857950601819,0.17528960763533583,0.17356859537669533
4,2.0,200.0,4.552438735961914,1470.5114028453827,0.8683847284000105,0.15062,0.14922720116470012,0.21984,0.21822891097154273,0.29424,0.2936804861945794,0.20161429955471658,0.20033377490042154
5,2.0,300.0,9.849622249603271,1885.365888118744,0.8533567400777883,0.15212,0.15068307629801425,0.22766,0.22709959201638705,0.3075,0.3068341487362665,0.2072615805367863,0.20616402485524277
6,2.0,400.0,8.617948532104492,2501.2078428268433,0.8413128710900641,0.15888,0.15682822366304955,0.23906,0.2387804506441401,0.3259,0.32591288449492983,0.21738515062768257,0.21645011987949078
